"","Date","dji_pctchg","snp_pctchg","vix_pctchg","libor_pctchg","exrate_pctchg","ffr_pctchg","ind_pctchg","pce_pctchg","unrate","m1_pctchg","m2_pctchg","t5_pctchg","t10_pctchg","div_pctchg","pe_ratio_pctchg","price_book_pctchg"
"3808",2008-06-13,-0.00310948597511316,8.0870273195957e-05,-0.0127237517777452,-0.00044424700133281,0,0,0,0,5.6,-0.00510312566446952,0.000310768115191334,-0.0459770114942529,-0.0438596491228069,-0.0134601372857307,0.013655260844564,0
"3809",2008-06-16,-0.00886621265069881,-0.00677133302338732,0.00859178956602442,-0.00133333333333338,-0.00135849746829914,-0.0922330097087378,0,0,5.6,-0.00341953408848041,0.00119090767876557,0.00602409638554217,0.0275229357798165,0.00310969447251808,-0.00311026779601331,-0.00310847713671487
"3810",2008-06-17,-0.0107925163938835,-0.00971182405865701,0.0525319949139608,-0.00222518914107687,-0.000952251368459943,-0.0160427807486631,0,0,5.6,-0.00341953408848041,0.00119090767876557,-0.0179640718562874,-0.00446428571428582,0.00895140664961633,-0.00886935363604255,-0.00888824129389492
"3811",2008-06-18,0.00282900536005914,0.0037523241556073,-0.0296762589928058,-0.000446030330062514,0.000544675911092561,0.0543478260869564,0,0,5.6,-0.00341953408848041,0.00119090767876557,0.0731707317073171,0.0358744394618834,0.0109075546337904,-0.0107899425856267,-0.010790943840047
"3812",2008-06-19,-0.0182705605985039,-0.0185428556227413,0.0597776181649676,0.000224899598393621,-0.00612416959209967,0.0257731958762887,0,0,5.6,-0.00341953408848041,0.00119090767876557,-0.0340909090909091,-0.00865800865800866,-0.00205159378443063,0.00282864671937027,0.00285349106797843
"3813",2008-06-20,-2.78718760700449e-05,5.30726192849023e-05,-0.0100569300368635,0.000892258055305704,0,0,0,0,5.6,-0.00341953408848041,0.00119090767876557,0.0470588235294118,0.0131004366812226,0.018616515018845,-0.0182678171089483,0
"3814",2008-06-23,-0.00294963697791043,-0.00281484142640366,-0.00971727074722918,0.00178292528116728,-0.00258752553452277,-0.0252525252525253,0,0,5.6,0.00407463006648068,-0.000581816301199835,-0.050561797752809,-0.021551724137931,3.73747944385435e-05,-2.71052292764153e-05,-3.01914135619126e-05
"3815",2008-06-24,0.000372679754720272,0.00584340729375338,-0.057091926851026,-0.000444938029031386,-0.00423263255687136,0.0207253886010363,0,0,5.6,0.00407463006648068,-0.000581816301199835,0.0236686390532545,0.0176211453744494,0.00295249841163069,-0.0029545500748802,-0.00295884786087384
"3816",2008-06-25,-0.0303433213679187,-0.0293652260275131,0.131977347775655,-0.00267081652202706,-0.00603320992732767,0.0406091370558375,0,0,5.6,0.00407463006648068,-0.000581816301199835,-0.0173410404624278,0.00865800865800866,-0.000372633775525538,0.000373811449504844,0.000393665021348781
"3817",2008-06-26,-0.00933434351731437,-0.00371742891383061,-0.0204763476807355,-0.00334924641955566,-0.00179330947146671,-0.0292682926829268,0,0,5.6,0.00407463006648068,-0.000581816301199835,-0.011764705882353,-0.00858369098712447,0.031312905390293,-0.0303421474576732,-0.0303608185010291
