dji_pctchg,snp_pctchg,vix_pctchg,libor_pctchg,exrate_pctchg,ffr_pctchg,ind_pctchg,pce_pctchg,unrate,m1_pctchg,m2_pctchg,t5_pctchg,t10_pctchg,div_pctchg,pe_ratio_pctchg,price_book_pctchg
0.000844456,0.001058442,0.019769357,0,0.001235966,-0.013605442,0,0,7.1,0.007384266,0.003473945,0.004739336,-0.003344482,0.001118891,-8.25E-05,-8.06E-05
-0.002087558,-0.002834471,0.067851373,0,-0.003815554,-0.006896552,0,0,7.1,0.007384266,0.003473945,-0.004716981,-0.003355705,-0.000829217,0.000849828,0.000886168
-0.001368419,-0.002143239,-0.015885023,0,0.005181999,-0.017361111,0,0,7.1,0.007384266,0.003473945,0,0.006734007,0.009092877,-0.002093913,-0.002092724
0.001771822,0.001107798,0.054573405,0,0,0,0,0,7.1,0.007384266,0.003473945,-0.018957346,-0.016722408,-0.00389759,-0.001363073,0
0.007397008,0.003523029,-0.02696793,0,-0.000110418,-0.003344482,0,0,7.1,0.001785546,-5.82E-05,0.004830918,0,0.016082134,0.001770278,0.001776916
0.003909206,0.000990195,0.015730337,0,0.000773395,-0.010067114,0,0,7.1,0.001785546,-5.82E-05,0.014423077,0.020408163,-0.024801272,0.007398905,0.007336935
-0.009855547,-0.012522431,0.088495575,0,0.003863965,0.006779661,0,0,7.1,0.001785546,-5.82E-05,0.023696682,0.01,-0.000543419,0.003909996,0.003921883
-0.001444314,0.000751285,-0.025067751,0.019607843,-0.0083581,-0.01010101,0,0,7.1,0.001785546,-5.82E-05,0.009259259,-0.00990099,0.006959548,-0.009855314,-0.009806266
0.002009847,0.001842745,-0.018068103,0,0,0,0,0,7.1,0.001785546,-5.82E-05,0.004587156,-0.003333333,-0.001799856,-0.001451367,0
-0.001605841,-0.000113514,0.004246285,0,0.002868524,-0.110778443,0,0,7.1,-0.002251407,-0.00084371,0.01369863,0.026755853,0.026361342,0.002015047,0.002015804
0.016153844,0.016465298,0.007047216,0,-0.002640242,-0.01010101,0,0,7.1,-0.002251407,-0.00084371,0.004504505,0.003257329,-0.022030147,-0.001607147,-0.001609399
0.0066428,0.006747523,-0.021693492,0,-0.002978215,0.010204082,0,0,7.1,-0.002251407,-0.00084371,-0.004484305,-0.006493506,-0.015879859,0.016155129,0.016119932
-0.008642501,-0.010541734,0.037911302,0,0.003429561,-0.003367003,0,0,7.1,-0.002251407,-0.00084371,0.022522523,0.009803922,-0.006607769,0.00663715,0.006662965
0.004280183,0.004844796,-0.028256375,0.019230769,0,0,0,0,7.1,-0.002251407,-0.00084371,-0.022026432,-0.025889968,0.008709713,-0.00863516,0
0.002522922,0.001897335,-0.004255319,0,-0.004613335,0.019047619,0,0,7.1,0.008837909,0.003261218,0.009009009,0.006644518,-0.004517633,0.004273783,0.004292187
0.006691073,0.010226124,-0.082621083,0,-0.001434617,0.015576324,0,0,7.1,0.008837909,0.003261218,-0.004464286,-0.00990099,0.023312839,0.002529039,0.002532647
0.004143927,-0.00227152,0.017080745,0,-0.010719428,-0.04601227,0,0,7.1,0.008837909,0.003261218,-0.004484305,-0.006666667,-0.031722757,0.031355363,0.00671035
-0.007707864,-0.004907058,0.028244275,0.018867925,-0.006255563,-0.028938907,0,0,7.1,0.008837909,0.003261218,0.009009009,0.016778523,-0.005392628,0.004147166,0.004077792
0.007061843,0.008085442,0.01484781,-1,0,0,0,0,7.1,0.008837909,0.003261218,-1,0,0.007761438,-0.007713567,0
0.000312432,4.41E-05,-0.013899049,-0.018518519,0.00426876,-0.063063063,0,0,7,-0.001584343,-0.00026121,-0.004672897,-0.003412969,-0.026237241,0.007065414,0.007004565
-0.002414508,-0.00299662,0.004451039,0,-0.000894877,-0.028846154,0,0,7,-0.001584343,-0.00026121,0,0,0.000567644,0.00031251,0.000312622
7.61E-05,-0.005370267,-0.050221566,0,0.016009852,-0.01650165,0,0,7,-0.001584343,-0.00026121,0.023474178,0.003424658,0.002420575,-0.002413384,-0.002343933
-0.003669816,-0.005265956,0.094090202,0.018867925,0,0,0,0,7,-0.001584343,-0.00026121,-0.018348624,-0.017064846,-7.55E-05,7.05E-05,0
-0.006112415,-0.006656416,0.047619048,0,0.000221234,-0.133757962,0,0,7,0.002613647,0.000464495,0.004672897,0.003472222,0.003697834,0.058526962,0.02404072
0.00039592,0.00240608,-0.052917232,0,0.004312251,0.073529412,0,0,7,0.002613647,0.000464495,0,0,0.006992481,-0.006116321,-0.006117611
-0.00575466,-0.00089729,-0.046561605,0,-0.004293735,0.030821918,0,0,7,0.002613647,0.000464495,0.004651163,0,0.00190398,0.000401831,0.000384704
0.003806158,0.004221126,-0.045078888,0,0,-0.026578073,0,0,7,0.002613647,0.000464495,-0.027777778,-0.01384083,0.006148228,-0.005757258,-0.005768343
0.002761741,0.001006084,-0.029897718,-0.018518519,0,0,0,0,7,0.002613647,0.000464495,-0.014285714,-0.003508772,-0.003777498,0.003808028,0
-0.006455745,-0.003216372,-0.02757502,0,0.008527098,0.026143791,0,0,7,0.002141328,-0.001160699,0,0,-0.002750929,0.002757613,0.002774353
0.00562712,0.002599332,-0.01000834,0,0.007247205,-0.031847134,0,0,7,0.002141328,-0.001160699,0,0.003521127,0.038283755,-0.006451421,-0.006455579
0.002916006,0.002480871,-0.01769166,0,0.000545034,-0.006578947,0,0,7,0.002141328,-0.001160699,0,-0.007017544,-0.03324597,0.005625542,0.005646658
-0.007700375,-0.01083519,0.04974271,0,0.012529974,-0.036423841,0,0,7,0.002141328,-0.001160699,0.014492754,0.003533569,-0.001299811,0.002916059,0.002922852
0.004592591,0.005724865,0.000816993,0,0,0,0,0,7,0.002141328,-0.001160699,-0.033333333,-0.031690141,0.006470326,-0.007699154,0
-0.003785451,-0.000649922,-0.048979592,0,0.004284501,-0.01650165,0,0,7,0.001114827,-0.001162048,0.009852217,0,-0.004581394,0.004589556,0.004637502
-0.008783333,-0.006144442,0.033476395,0.018867925,-0.002986337,0.087248322,0,0,7,0.001114827,-0.001162048,-0.019512195,-0.010909091,0.00378591,-0.003787315,-0.003846746
0.006865114,0.007739328,0.01744186,0,0.006418474,-0.067901235,0,0,7,0.001114827,-0.001162048,-0.009950249,-0.003676471,0.008874427,-0.008783526,-0.008727217
8.02E-05,0.002194284,-0.081632653,-0.006945185,-0.005633493,-0.01986755,0,0,7,0.001114827,-0.001162048,-0.005025126,-0.007380074,-0.006817182,0.006872075,0.006856252
0.011260756,0.009495085,-0.012444444,-0.006990774,0,0,0,0,7,0.001114827,-0.001162048,-0.005050505,0,-7.38E-05,7.48E-05,0
-0.003215074,-0.002567232,0.01620162,-0.004696331,-0.006102216,-0.025974026,0,0,7,0.00157758,-0.000610785,-0.010152284,0,-0.015463537,-0.003883771,0.010755184
-0.000787195,-0.000355018,-0.002657219,0,0.008509274,0.306666667,0,0,7,0.00157758,-0.000610785,0,0.003717472,0.003223751,-0.003207777,-0.003215188
-0.001575629,-0.00335163,0.022202487,0,-0.004699295,-0.165816327,0.003086212,0.006509009,7,0.00157758,-0.000610785,0.015384615,0.014814815,0.000784665,0.350260387,0.018662161
-0.007568655,-0.007082074,-0.015638575,0,0.003111933,-0.094801223,0,0,6.9,0.00157758,-0.000610785,-0.01010101,0,0.0015681,-0.001573994,-0.001507841
-0.009770474,-0.009891448,0.224183583,-0.018867925,0,0,0,0,6.9,0.00157758,-0.000610785,-1,0,0.023186461,-0.00756932,0
0.007461018,0.003171497,-0.059120404,0.019230769,0.001811766,0.062695925,0,0,6.9,0.003706106,0.00221181,0.005208333,0.003731343,-0.000619353,-0.011519439,-0.010195541
0.01114893,0.013120223,-0.062068966,0,0,-0.088495575,0,0,6.9,0.003706106,0.00221181,0,0,-0.007400386,0.007459497,0.007456376
0.001889398,-0.001181415,-0.117647059,0,0.010425564,-0.042071197,0,0,6.9,0.003706106,0.00221181,-0.010362694,-0.007434944,-0.01101807,0.011148821,0.011139936
0.000942848,0.001941546,0.00462963,0,0,0,0,0,6.9,0.003706106,0.00221181,-0.005235602,-0.007490637,-0.001893939,0.001890793,0
-0.0025366,-0.001982304,0.015668203,0,-0.006928448,-0.041666667,0,0,6.9,0.001846211,-0.000145193,0.010526316,0.00754717,-0.000930163,0.000943612,0.000903819
0.007711726,0.004441052,-0.021778584,0,-0.001268446,-0.006688963,0,0,6.9,0.001846211,-0.000145193,-0.010416667,-0.011235955,0.0025324,-0.002538099,-0.002483257
0.002365495,-0.00191074,-0.016697588,-0.009433962,0.004021994,0.053872054,0,0,6.9,0.001846211,-0.000145193,0.005263158,0,-0.007652303,0.007711967,0.007694629
-0.006375764,-0.007724502,0.033962264,-0.00952381,-0.002740913,-0.051118211,0,0,6.9,0.001846211,-0.000145193,0,-0.003787879,-0.002358314,0.002364145,0.002395568
0.001981127,0.000628153,0.045620438,0,0,0,0,0,6.9,0.001846211,-0.000145193,-0.015706806,-0.015209125,0.00641627,-0.006372565,0
0.002687199,0.00286976,-0.035776614,0,-0.002122734,-0.015974441,0,0,6.9,0.001105685,-0.000261385,0.037234043,0.011583012,0.002087838,0.00197808,0.002029465
0.002995919,-0.000290637,0.083257919,0,-0.000531759,0.090909091,0,0,6.9,0.001105685,-0.000261385,0.041025641,0.026717557,-0.00628767,0.002691551,0.002625459
-0.008488477,-0.005970712,-0.023391813,0.019230769,0.000212802,-0.071428571,0,0,6.9,0.001105685,-0.000261385,0.024630542,0.018587361,-0.002957804,0.002994909,0.002992668
0.006104589,0.005826631,-0.031650984,0,0.006170891,-0.041666667,0,0,6.9,0.001105685,-0.000261385,0.019230769,0.018248175,0.008561772,-0.008487885,-0.008429062
0.005909641,0.004450883,0,0,0,0,0,0,6.9,0.001105685,-0.000261385,-0.018867925,-0.010752688,-0.006068955,0.006101132,0
-0.000627853,-0.00189273,0.001766784,0,0.001266304,-0.032154341,0,0,6.9,0.001656696,0.000377654,0.004807692,-0.003623188,-0.00573141,0.005908927,0.005906984
-0.003368432,-0.002342468,0.002645503,0,-0.004637384,-0.009966777,0,0,6.9,0.001656696,0.000377654,-0.004784689,0,0.000640494,-0.0006282,-0.000668996
